항목코드,항목줄임명,항목전체명,단위,관리소수점자리수,표시순서,사용여부
1,PM10,미세먼지(PM10),㎍/㎥,0,1,Y
2,PM2.5,미세먼지(PM2.5),㎍/㎥,0,2,Y
3,O3,오존,ppm,3,3,Y
4,CO,일산화탄소,ppm,1,4,Y
5,SO2,아황산가스,ppm,3,5,Y
6,NO2,이산화질소,ppm,3,6,Y
7,NOx,총질소,ppm,3,7,N
8,NO,일산화질소,ppm,3,8,N
9,DIR,풍향,deg,0,9,N
10,SPD,풍속,m/s,1,10,N
11,TMP,온도,℃,1,11,N
12,TEM,실내온도,℃,1,12,N
13,HUM,습도,%,1,13,N
14,SOL,일사량,W/㎡,0,14,N
15,CO2,이산화탄소,ppm,0,15,N
16,CH4,메탄,ppm,3,16,N
17,BEN,벤젠,ppb,2,17,N
18,TOL,톨루엔,ppb,2,19,N
19,EBN,에틸벤젠,ppb,2,20,N
20,OXY,O자일렌,ppb,2,21,N
21,MPX,MP자일렌,ppb,2,22,N
22,STR,스타이렌,ppb,2,23,N
23,THC,총탄화수소,ppm,2,18,N
24,NH3,암모니아,ppm,3,24,N
25,BUT,1.3부타디엔,ppb,2,25,N
