측정소코드,측정소명,공인코드,주소,측정소설립일,측정소폐쇄일,표시순서,사용여부
701,성황동,534111,충청남도 천안시 동남구 복자1길 24 문성어린이집,19930901,,1,Y
702,백석동,534112,충청남도 천안시 서북구 백석동 백석공단1로 20 백석산업단지 관리사무소,20010101,,2,Y
703,성성동,534114,충청남도 천안시 서북구 성성동 1-70 삼성대로변,20080311,,3,Y
704,성거읍,534115,충청남도 천안시 서북구 성거읍 천흥8길 7,20180118,,4,Y
705,신방동,888881,천안 신방동,20190228,,33,Y
711,공주,534342,충청남도 공주시 봉황로 1 공주시의회,20170705,,5,Y
716,대천2동,534481,충청남도 보령시 중앙로 142-16 대천2동 주민센터,20170705,,7,Y
717,주교면,534482,충청남도 보령시 주교면 울계큰길 396 주교면사무소,20180619,,26,Y
721,모종동,534441,충청남도 아산시 번영로224번길 20 아산시 보건소,20060101,,12,Y
722,배방읍,534442,충청남도 아산시 배방읍 배방로 38 배방읍사무소,20171214,,13,Y
723,도고면,534443,충청남도 아산시 도고면 기곡리 296-4,20180329,,24,Y
724,인주면,534445,충청남도 아산시 인주면 걸매리 1048 인주산단 관리사무소,20180329,,25,Y
725,둔포면,534444,충청남도 아산시 둔포면 석곡리 1481 중앙공원,20180329,,22,Y
726,독곶리,534421,충청남도 서산시 대산읍 평신1로 386 산업용수센터,19940101,,8,Y
727,동문동,534422,충청남도 서산시 중앙로 38-1 서산초등학교,19960101,,9,Y
728,대산리,534423,충청남도 서산시 대산읍 충의로 1942 대산종합시장,20180517,,30,Y
729,성연면,888882,충청남도 서산시 성연면 마루들길 15 성연면행정복지센터,20190909,,34,Y
731,논산읍,534451,충청남도 논산시 시민로 389 취암동행정복지센터,20170701,,14,Y
736,엄사면,534510,충청남도 계룡시 엄사면 번영7길 17 엄사도서관,20180328,,23,Y
741,난지도리,534431,충청남도 당진시 석문면 난지도리 533,20040201,2017121823,12,Y
742,정곡리,534432,충청남도 당진시 송악면 정곡리 66-12번지(정곡마을회관 옥상),20071201,2017111423,13,Y
743,당진시청사,534434,충청남도 당진시 시청1로 1 당진시청,20180112,,10,Y
744,송산면,534433,충청남도 당진시 송산면 유곡로 342-27 공공하폐수처리장,20171218,,11,Y
746,금산읍,534501,충청남도 금산군 금산읍 비호로 69 금산읍사무소,20171214,,19,Y
751,부여읍,534411,충청남도 부여군 부여읍 사비로 36 부여읍행정복지센터,20170701,,6,Y
756,서천읍,735520,충청남도 서천군 서천읍 서천로 14번길 20 서천문예의전당(주차장),20180328,,27,Y
757,서면,735521,충청남도 서천군 서면 서인로 761 서면보건지소,20180328,,28,Y
758,장항읍,735522,충청남도 서천군 장항읍 장산로 297 철도시설공단부지,20190201,,29,Y
761,청양읍,534502,충청남도 청양군 청양읍 칠갑산로7길 54 청양군보건의료원,20171214,,20,Y
766,홍성읍,534491,충청남도 홍성군 홍성읍 내포로136번길 29 느티나무어린이집,20170705,,18,Y
767,내포,534492,충청남도 홍성군 홍북읍 홍예공원로 8,20190201,,31,Y
771,예산읍,534471,충청남도 예산군 예산읍 신흥길 63 예산읍다목적노인회관,20170705,,17,Y
776,이원면,534462,충청남도 태안군 이원면 분지길 14 이원면사무소,20170701,,15,Y
777,태안읍,534463,충청남도 태안군 태안읍 군청6길 30 태안군장애인복지관,20170918,,16,Y
791,이동차1,999999,이동측정차,20140408,,21,Y
792,이동차2,999998,이동측정차,20181211,,32,Y
